Neighbourhood,Hood_ID,Bachelor,One_Bed,Two_Bed,Three_Bed,Avg_Rent
West Humber-Clairville,1,1409,1944,2301,0,1884.666667
Mount Olive-Silverstone-Jamestown,2,1158,1714,1889,2074,1708.75
Thristletown,3,1158,1714,1889,2074,1708.75
Rexdale-Kipling,4,0,1305,1491,1484,1426.666667
Elms-Old Rexdale,5,0,1693,1897,0,1795
Kingsview Village-The Westway,6,0,1647,1820,2012,1826.333333
Willowridge-Martingrove-Richview,7,0,1633,2181,2357,2057
Humber Heights-Westmount,8,0,1913,2197,0,2197
Edenbridge-Humber Valley,9,0,2194,2784,3077,2685
Princess-Rosethorn,10,0,2445,3219,3550,3071.333333
Eringate-Centennial-West Deane,11,0,2445,3219,3550,3071.333333
Markland Wood,12,0,2445,3219,3550,3071.333333
Etobicoke West Mall,13,1494,1625,1899,2178,1799
Kingsway South,15,1310,1636,1693,0,1546.333333
Stonegate-Queensway,16,1310,1636,1693,0,1546.333333
New Toronto,18,0,1302,1756,0,1529
Long Branch,19,0,1467,0,0,1467
Alderwood,20,0,1467,0,0,1467
Humber Summit,21,1380,1461,1850,1856,1636.75
Humbermede,22,0,1583,1898,2189,1890
Pelmo Park/Humberlea,23,0,1583,1898,2189,1890
Black Creek,24,1380,1461,1850,1856,1636.75
Glenfield/Jane Heights,25,1380,1461,1850,1856,1636.75
York University Heights,27,0,1583,1898,2189,1890
Rustic,28,0,1583,1898,2189,1890
Maple Leaf,29,0,1455,1722,2003,1726.666667
Brookhaven-Amesbury,30,0,1455,1722,2003,1726.666667
Yorkdale-Glen Park,31,0,1387,1434,0,1410.5
Englemount-Lawrence,32,1370,1606,1680,0,1552
Clanton Park,33,0,1401,0,0,1401
Bathurst Manor,34,0,1439,1591,1850,1626.666667
Westminster-Branson,35,1696,1746,2161,2322,1981.25
Newtonbrook West,36,0,1641,1930,2118,1896.333333
Willowdale West,37,0,1730,2225,2513,2156
Lansing-Westgate,38,0,1730,2225,2513,2156
Bedford Park-Nortown,39,1270,1539,1992,0,1600.333333
St. Andrew-Windfields,40,1135,1636,1948,2368,1771.75
Bridle Path/Sunnybrook/York Mills,41,0,1720,2038,2383,2047
Banbury-Don Mills/York Mills,42,0,1720,2038,2383,2047
Victoria Village,43,1239,1484,1675,1979,1594.25
Flemingdon Park,44,0,1502,1624,1973,1699.666667
Pleasant View,46,1326,1718,1941,2083,1767
Don Valley Village,47,1326,1718,1941,2083,1767
Hillcrest Village,48,0,2220,2530,2678,2476
Bayview Woods-Steeles,49,0,2220,2530,2678,2476
Newtonbrook East,50,1570,2041,2689,0,2100
Bayview Village,52,0,1743,2158,0,1950.5
Henry Farm,53,0,1721,2063,2159,1981
O'Connor-Parkview,54,1012,1348,1556,1705,1405.25
Thorncliffe Park,55,1224,1463,1804,2067,1639.5
Leaside-Bennington,56,1607,1666,2248,0,1840.333333
Broadview North,57,1286,1565,1784,2322,1739.25
Old East York,57,1039,1213,1465,0,1239
Danforth Village-East York,59,0,1485,1769,0,1627
Woodbine-Lumsden,60,0,1485,1769,0,1627
Taylor/Massey,61,0,1587,0,0,1587
East End-Danforth,62,0,1587,0,0,1587
The Beaches,63,1313,1468,2111,0,1630.666667
Woodbine Corridor,64,0,1877,0,0,1877
Greenwood/Coxwell,65,0,1877,0,0,1877
Danforth,66,1171,1417,1791,0,1459.666667
Playter Estates-Danforth,67,1171,1417,1791,0,1459.666667
North Riverdale,68,1607,1666,2248,0,1840.333333
Blake/Jones,69,1410,1749,2194,0,1784.333333
South Riverdale,70,1157,1703,2016,0,1625.333333
Cabbagetown-South St. James Town,71,1192,1767,2070,0,1676.333333
Regent Park,72,1547,1656,0,0,1601.5
Moss Park,73,1547,1656,0,0,1601.5
North St. James Town,74,1624,2003,2441,3127,2298.75
Kensington-Chinatown,78,1624,2003,2441,3127,2298.75
University/Annex,79,1604,1955,2882,0,2147
Palmerston/Little Italy,80,1639,2060,0,0,1849.5
Trinity/Bellwoods,81,1624,2003,2441,3127,2298.75
Dufferin Grove,83,0,2023,0,0,2023
Little Portugal,84,0,2023,0,0,2023
South Parkdale/King West,85,1234,1572,1873,0,1559.666667
Roncesvalles,86,1289,1834,2012,0,1711.666667
High Park-Swansea,87,0,1600,2326,0,1963
High Park North/Junction,88,1410,1749,2194,0,1784.333333
Runnymede/Bloor West Village,89,1410,1749,2194,0,1784.333333
Junction Area,90,1639,2060,0,0,1849.5
Weston,91,1514,1767,1978,1858,1779.25
Corso Italia/Davenport,92,1514,1767,1978,1858,1779.25
Wychwood,94,1570,2041,2689,0,2100
Annex,95,1570,2041,2689,0,2100
Casa Loma,96,1505,2066,2432,0,1968.5
Yonge-St. Clair,97,1670,2090,2565,0,2108.333333
Rosedale,98,0,1903,2071,0,1987
Mount Pleasant East,99,1421,1764,2275,0,1820
Yonge-Eglinton,100,1687,1683,2370,0,1913.333333
Forest Hill South,101,0,2085,0,0,2085
Forest Hill North,102,1349,1679,2117,2660,1951.25
Lawrence Park South,103,1442,1927,2539,0,1969.333333
Lawrence Park North,105,1377,1655,0,0,1516
Humewood-Cedarvale,106,1426,1769,2300,0,1831.666667
Oakwood,107,1294,1610,1800,0,1568
Briar Hill-Belgravia,108,1519,1723,1981,0,1741
Caledonia-Fairbank,109,1341,1502,1702,0,1515
Keelesdale-Eglinton West,110,1426,1769,2300,0,1831.666667
Rockcliffe-Smythe,111,1007,1320,1772,0,1366.333333
Beechborough-Greenbrook,112,0,1293,1643,0,1468
Weston,113,1897,1862,2121,2122,2000.5
Lambton Baby Point,114,1090,1494,1720,0,1434.666667
Mount Dennis,115,1897,1862,2121,2122,2000.5
Steeles,116,1426,1769,2300,0,1831.666667
Tam O'Shanter-Sullivan,118,1304,1541,1774,1794,1603.25
Wexford-Maryvale,119,1339,1444,1827,2143,1688.25
Clairlea-Birchmount,120,0,1515,1647,1970,1710.666667
Oakridge,121,1421,1840,2404,0,1888.333333
Birchcliffe-Cliffside,122,1178,1650,1978,0,1602
Cliffcrest,123,1897,1862,2121,2122,2000.5
Kennedy Park,124,0,1218,1299,0,1258.5
Ionview,125,1213,1561,1810,1794,1594.5
Dorset Park,126,0,1898,2300,2815,2337.666667
Agincourt,128,0,1500,1695,1908,1701
Agincourt/Malvern,129,0,1500,1695,1908,1701
Milliken,130,1426,1769,2300,0,1831.666667
Centennial Scarborough,133,1897,1862,2121,2122,2000.5
Highland Creek,134,1426,1769,2300,0,1831.666667
Morningside,135,1559,1616,1879,1985,1759.75
West Hill,136,0,1718,1767,0,1742.5
Eglinton East,138,1278,1386,1714,2031,1602.25
Scarborough Village,139,0,1613,2100,2278,1997
Guildwood,140,0,1644,2155,2229,2009.333333
Golfdale/Cedarbrae/Woburn,141,0,1898,2300,2815,2337.666667
Woburn,142,1203,1523,1696,1715,1534.25
West Rouge,143,1897,1862,2121,2122,2000.5
Morningside Heights,144,0,1644,2155,2229,2009.333333
Malvern West,145,0,1898,2300,2815,2337.666667
Malvern East,146,0,1644,2155,2229,2009.333333
L'Amoreaux/Steeles/Milliken,147,0,1465,1694,1865,1674.666667
East L'Amoreaux,148,1897,1862,2121,2122,2000.5
Parkwoods-Donalda,149,1438,1578,1812,2082,1727.5
Fenside/Parkwoods,150,0,1898,2300,2815,2337.666667
Yonge/Doris,151,1570,2041,2689,0,2100
East Willowdale,152,0,1644,2155,2229,2009.333333
Avondale,153,1682,1893,2293,3416,2321
Oakdale/Beverley Heights,154,1570,2041,2689,0,2100
Downsview,155,1102,1402,1620,1738,1465.5
Bendale,156,0,1688,1638,1727,1684.333333
Bendale South,157,0,1688,1638,1727,1684.333333
Islington/City Centre North,158,1897,1862,2121,2122,2000.5
Etobicoke City Centre,159,1897,1862,2121,2122,2000.5
Mimico,160,1062,1350,1514,2021,1486.75
Humber Bay Shores,161,1926,2403,3199,0,2509.333333
West Queen West,162,1926,2403,3199,0,2509.333333
Fort York/Liberty Village,163,1570,2041,2689,0,2100
Wellington Place,164,1639,2060,0,0,1849.5
Harbourfront/CityPlace,165,0,2220,2530,2678,2476
St Lawrence/East Bayfront/The Islands,166,0,2220,2530,2678,2476
Church-Yonge Corridor,167,1682,1893,2293,3416,2321
Downtown Yonge East,168,1926,2403,3199,0,2509.333333
Bay/Cloverhill,169,1926,2403,3199,0,2509.333333
Yonge/Bay Corridor,170,1926,2403,3199,0,2509.333333
Junction/Wallace Emerson,171,1639,2060,0,0,1849.5
Dovercourt/Davenport,172,1639,2060,0,0,1849.5
North Toronto,173,1414,1691,1961,2191,1814.25
South Eglinton/Davisville,174,1554,1996,2655,3868,2518.25
